Name,type,abilitie(s),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Weight (Kg),Height (m)
wigglytuff,"normal, fairy","cute-charm, competitive, frisk",140,70,45,85,50,45,120,1.0
zubat,"poison, flying","inner-focus, infiltrator",40,45,35,30,40,55,75,0.8
golbat,"poison, flying","inner-focus, infiltrator",75,80,70,65,75,90,550,1.6
oddish,"grass, poison","chlorophyll, run-away",45,50,55,75,65,30,54,0.5
gloom,"grass, poison","chlorophyll, stench",60,65,70,85,75,40,86,0.8
vileplume,"grass, poison","chlorophyll, effect-spore",75,80,85,110,90,50,186,1.2
paras,"bug, grass","effect-spore, dry-skin, damp",35,70,55,45,55,25,54,0.3
parasect,"bug, grass","effect-spore, dry-skin, damp",60,95,80,60,80,30,295,1.0
venonat,"bug, poison","compound-eyes, tinted-lens, run-away",60,55,50,40,55,45,300,1.0
venomoth,"bug, poison","shield-dust, tinted-lens, wonder-skin",70,65,60,90,75,90,125,1.5
diglett,ground,"sand-veil, arena-trap, sand-force",10,55,25,35,45,95,8,0.2
dugtrio,ground,"sand-veil, arena-trap, sand-force",35,100,50,50,70,120,333,0.7
meowth,normal,"pickup, technician, unnerve",40,45,35,40,40,90,42,0.4
persian,normal,"limber, technician, unnerve",65,70,60,65,65,115,320,1.0
psyduck,water,"damp, cloud-nine, swift-swim",50,52,48,65,50,55,196,0.8
golduck,water,"damp, cloud-nine, swift-swim",80,82,78,95,80,85,766,1.7
mankey,fighting,"vital-spirit, anger-point, defiant",40,80,35,35,45,70,280,0.5
primeape,fighting,"vital-spirit, anger-point, defiant",65,105,60,60,70,95,320,1.0
growlithe,fire,"intimidate, flash-fire, justified",55,70,45,70,50,60,190,0.7
arcanine,fire,"intimidate, flash-fire, justified",90,110,80,100,80,95,1550,1.9
poliwag,water,"water-absorb, damp, swift-swim",40,50,40,40,40,90,124,0.6
poliwhirl,water,"water-absorb, damp, swift-swim",65,65,65,50,50,90,200,1.0
poliwrath,"water, fighting","water-absorb, damp, swift-swim",90,95,95,70,90,70,540,1.3
abra,psychic,"synchronize, inner-focus, magic-guard",25,20,15,105,55,90,195,0.9
kadabra,psychic,"synchronize, inner-focus, magic-guard",40,35,30,120,70,105,565,1.3
alakazam,psychic,"synchronize, inner-focus, magic-guard",55,50,45,135,95,120,480,1.5
machop,fighting,"guts, no-guard, steadfast",70,80,50,35,35,35,195,0.8
machoke,fighting,"guts, no-guard, steadfast",80,100,70,50,60,45,705,1.5
machamp,fighting,"guts, no-guard, steadfast",90,130,80,65,85,55,1300,1.6
bellsprout,"grass, poison","chlorophyll, gluttony",50,75,35,70,30,40,40,0.7
weepinbell,"grass, poison","chlorophyll, gluttony",65,90,50,85,45,55,64,1.0
victreebel,"grass, poison","chlorophyll, gluttony",80,105,65,100,70,70,155,1.7
tentacool,"water, poison","clear-body, liquid-ooze, rain-dish",40,40,35,50,100,70,455,0.9
tentacruel,"water, poison","clear-body, liquid-ooze, rain-dish",80,70,65,80,120,100,550,1.6
geodude,"rock, ground","rock-head, sturdy, sand-veil",40,80,100,30,30,20,200,0.4
graveler,"rock, ground","rock-head, sturdy, sand-veil",55,95,115,45,45,35,1050,1.0
golem,"rock, ground","rock-head, sturdy, sand-veil",80,120,130,55,65,45,3000,1.4
ponyta,fire,"run-away, flash-fire, flame-body",50,85,55,65,65,90,300,1.0
rapidash,fire,"run-away, flash-fire, flame-body",65,100,70,80,80,105,950,1.7
slowpoke,"water, psychic","oblivious, own-tempo, regenerator",90,65,65,40,40,15,360,1.2
slowbro,"water, psychic","oblivious, own-tempo, regenerator",95,75,110,100,80,30,785,1.6
magnemite,"electric, steel","magnet-pull, sturdy, analytic",25,35,70,95,55,45,60,0.3
magneton,"electric, steel","magnet-pull, sturdy, analytic",50,60,95,120,70,70,600,1.0
farfetchd,"normal, flying","keen-eye, inner-focus, defiant",52,90,55,58,62,60,150,0.8
doduo,"normal, flying","run-away, early-bird, tangled-feet",35,85,45,35,35,75,392,1.4
dodrio,"normal, flying","run-away, early-bird, tangled-feet",60,110,70,60,60,110,852,1.8
seel,water,"thick-fat, hydration, ice-body",65,45,55,45,70,45,900,1.1
dewgong,"water, ice","thick-fat, hydration, ice-body",90,70,80,70,95,70,1200,1.7
grimer,poison,"stench, sticky-hold, poison-touch",80,80,50,40,50,25,300,0.9
muk,poison,"stench, sticky-hold, poison-touch",105,105,75,65,100,50,300,1.2
shellder,water,"shell-armor, skill-link, overcoat",30,65,100,45,25,40,40,0.3
cloyster,"water, ice","shell-armor, skill-link, overcoat",50,95,180,85,45,70,1325,1.5
gastly,"ghost, poison",levitate,30,35,30,100,35,80,1,1.3
haunter,"ghost, poison",levitate,45,50,45,115,55,95,1,1.6
gengar,"ghost, poison",cursed-body,60,65,60,130,75,110,405,1.5
onix,"rock, ground","rock-head, sturdy, weak-armor",35,45,160,30,45,70,2100,8.8
drowzee,psychic,"insomnia, forewarn, inner-focus",60,48,45,43,90,42,324,1.0
hypno,psychic,"insomnia, forewarn, inner-focus",85,73,70,73,115,67,756,1.6
krabby,water,"hyper-cutter, shell-armor, sheer-force",30,105,90,25,25,50,65,0.4
kingler,water,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75,600,1.3
voltorb,electric,"soundproof, static, aftermath",40,30,50,55,55,100,104,0.5
electrode,electric,"soundproof, static, aftermath",60,50,70,80,80,150,666,1.2
exeggcute,"grass, psychic","chlorophyll, harvest",60,40,80,60,45,40,25,0.4
exeggutor,"grass, psychic","chlorophyll, harvest",95,95,85,125,75,55,1200,2.0
cubone,ground,"rock-head, lightning-rod, battle-armor",50,50,95,40,50,35,65,0.4
marowak,ground,"rock-head, lightning-rod, battle-armor",60,80,110,50,80,45,450,1.0
hitmonlee,fighting,"limber, reckless, unburden",50,120,53,35,110,87,498,1.5
hitmonchan,fighting,"keen-eye, iron-fist, inner-focus",50,105,79,35,110,76,502,1.4
lickitung,normal,"own-tempo, oblivious, cloud-nine",90,55,75,60,75,30,655,1.2
koffing,poison,"levitate, neutralizing-gas, stench",40,65,95,60,45,35,10,0.6
weezing,poison,"levitate, neutralizing-gas, stench",65,90,120,85,70,60,95,1.2
rhyhorn,"ground, rock","lightning-rod, rock-head, reckless",80,85,95,30,30,25,1150,1.0
rhydon,"ground, rock","lightning-rod, rock-head, reckless",105,130,120,45,45,40,1200,1.9
chansey,normal,"natural-cure, serene-grace, healer",250,5,5,35,105,50,346,1.1
tangela,grass,"chlorophyll, leaf-guard, regenerator",65,55,115,100,40,60,350,1.0
kangaskhan,normal,"early-bird, scrappy, inner-focus",105,95,80,40,80,90,800,2.2
horsea,water,"swift-swim, sniper, damp",30,40,70,70,25,60,80,0.4
seadra,water,"poison-point, sniper, damp",55,65,95,95,45,85,250,1.2
goldeen,water,"swift-swim, water-veil, lightning-rod",45,67,60,35,50,63,150,0.6
seaking,water,"swift-swim, water-veil, lightning-rod",80,92,65,65,80,68,390,1.3
staryu,water,"illuminate, natural-cure, analytic",30,45,55,70,55,85,345,0.8
starmie,"water, psychic","illuminate, natural-cure, analytic",60,75,85,100,85,115,800,1.1
mr-mime,"psychic, fairy","soundproof, filter, technician",40,45,65,100,120,90,545,1.3
scyther,"bug, flying","swarm, technician, steadfast",70,110,80,55,80,105,560,1.5
jynx,"ice, psychic","oblivious, forewarn, dry-skin",65,50,35,115,95,95,406,1.4
electabuzz,electric,"static, vital-spirit",65,83,57,95,85,105,300,1.1
magmar,fire,"flame-body, vital-spirit",65,95,57,100,85,93,445,1.3
pinsir,bug,"hyper-cutter, mold-breaker, moxie",65,125,100,55,70,85,550,1.5
tauros,normal,"intimidate, anger-point, sheer-force",75,100,95,40,70,110,884,1.4
magikarp,water,"swift-swim, rattled",20,10,55,15,20,80,100,0.9
gyarados,"water, flying","intimidate, moxie",95,125,79,60,100,81,2350,6.5
lapras,"water, ice","water-absorb, shell-armor, hydration",130,85,80,85,95,60,2200,2.5
ditto,normal,"limber, imposter",48,48,48,48,48,48,40,0.3
eevee,normal,"run-away, adaptability, anticipation",55,55,50,45,65,55,65,0.3
vaporeon,water,"water-absorb, hydration",130,65,60,110,95,65,290,1.0
jolteon,electric,"volt-absorb, quick-feet",65,65,60,110,95,130,245,0.8
flareon,fire,"flash-fire, guts",65,130,60,95,110,65,250,0.9
porygon,normal,"trace, download, analytic",65,60,70,85,75,40,365,0.8
omanyte,"rock, water","swift-swim, shell-armor, weak-armor",35,40,100,90,55,35,75,0.4
omastar,"rock, water","swift-swim, shell-armor, weak-armor",70,60,125,115,70,55,350,1.0
kabuto,"rock, water","swift-swim, battle-armor, weak-armor",30,80,90,55,45,55,115,0.5
kabutops,"rock, water","swift-swim, battle-armor, weak-armor",60,115,105,65,70,80,405,1.3
aerodactyl,"rock, flying","rock-head, pressure, unnerve",80,105,65,60,75,130,590,1.8
snorlax,normal,"immunity, thick-fat, gluttony",160,110,65,65,110,30,4600,2.1
articuno,"ice, flying","pressure, snow-cloak",90,85,100,95,125,85,554,1.7
zapdos,"electric, flying","pressure, static",90,90,85,125,90,100,526,1.6
moltres,"fire, flying","pressure, flame-body",90,100,90,125,85,90,600,2.0
dratini,dragon,"shed-skin, marvel-scale",41,64,45,50,50,50,33,1.8
dragonair,dragon,"shed-skin, marvel-scale",61,84,65,70,70,70,165,4.0
dragonite,"dragon, flying","inner-focus, multiscale",91,134,95,100,100,80,2100,2.2
mewtwo,psychic,"pressure, unnerve",106,110,90,154,90,130,1220,2.0
mew,psychic,synchronize,100,100,100,100,100,100,40,0.4
chikorita,grass,"overgrow, leaf-guard",45,49,65,49,65,45,64,0.9
bayleef,grass,"overgrow, leaf-guard",60,62,80,63,80,60,158,1.2
meganium,grass,"overgrow, leaf-guard",80,82,100,83,100,80,1005,1.8
cyndaquil,fire,"blaze, flash-fire",39,52,43,60,50,65,79,0.5
quilava,fire,"blaze, flash-fire",58,64,58,80,65,80,190,0.9
typhlosion,fire,"blaze, flash-fire",78,84,78,109,85,100,795,1.7
totodile,water,"torrent, sheer-force",50,65,64,44,48,43,95,0.6
croconaw,water,"torrent, sheer-force",65,80,80,59,63,58,250,1.1
feraligatr,water,"torrent, sheer-force",85,105,100,79,83,78,888,2.3
sentret,normal,"run-away, keen-eye, frisk",35,46,34,35,45,20,60,0.8
furret,normal,"run-away, keen-eye, frisk",85,76,64,45,55,90,325,1.8
hoothoot,"normal, flying","insomnia, keen-eye, tinted-lens",60,30,30,36,56,50,212,0.7
noctowl,"normal, flying","insomnia, keen-eye, tinted-lens",100,50,50,86,96,70,408,1.6
ledyba,"bug, flying","swarm, early-bird, rattled",40,20,30,40,80,55,108,1.0
ledian,"bug, flying","swarm, early-bird, iron-fist",55,35,50,55,110,85,356,1.4
spinarak,"bug, poison","swarm, insomnia, sniper",40,60,40,40,40,30,85,0.5
ariados,"bug, poison","swarm, insomnia, sniper",70,90,70,60,70,40,335,1.1
crobat,"poison, flying","inner-focus, infiltrator",85,90,80,70,80,130,750,1.8
chinchou,"water, electric","volt-absorb, illuminate, water-absorb",75,38,38,56,56,67,120,0.5
lanturn,"water, electric","volt-absorb, illuminate, water-absorb",125,58,58,76,76,67,225,1.2
pichu,electric,"static, lightning-rod",20,40,15,35,35,60,20,0.3
cleffa,fairy,"cute-charm, magic-guard, friend-guard",50,25,28,45,55,15,30,0.3
igglybuff,"normal, fairy","cute-charm, competitive, friend-guard",90,30,15,40,20,15,10,0.3
togepi,fairy,"hustle, serene-grace, super-luck",35,20,65,40,65,20,15,0.3
togetic,"fairy, flying","hustle, serene-grace, super-luck",55,40,85,80,105,40,32,0.6
natu,"psychic, flying","synchronize, early-bird, magic-bounce",40,50,45,70,45,70,20,0.2
xatu,"psychic, flying","synchronize, early-bird, magic-bounce",65,75,70,95,70,95,150,1.5
mareep,electric,"static, plus",55,40,40,65,45,35,78,0.6
flaaffy,electric,"static, plus",70,55,55,80,60,45,133,0.8
ampharos,electric,"static, plus",90,75,85,115,90,55,615,1.4
bellossom,grass,"chlorophyll, healer",75,80,95,90,100,50,58,0.4
marill,"water, fairy","thick-fat, huge-power, sap-sipper",70,20,50,20,50,40,85,0.4
azumarill,"water, fairy","thick-fat, huge-power, sap-sipper",100,50,80,60,80,50,285,0.8
sudowoodo,rock,"sturdy, rock-head, rattled",70,100,115,30,65,30,380,1.2
politoed,water,"water-absorb, damp, drizzle",90,75,75,90,100,70,339,1.1
hoppip,"grass, flying","chlorophyll, leaf-guard, infiltrator",35,35,40,35,55,50,5,0.4
skiploom,"grass, flying","chlorophyll, leaf-guard, infiltrator",55,45,50,45,65,80,10,0.6
jumpluff,"grass, flying","chlorophyll, leaf-guard, infiltrator",75,55,70,55,95,110,30,0.8
aipom,normal,"run-away, pickup, skill-link",55,70,55,40,55,85,115,0.8
sunkern,grass,"chlorophyll, solar-power, early-bird",30,30,30,30,30,30,18,0.3
sunflora,grass,"chlorophyll, solar-power, early-bird",75,75,55,105,85,30,85,0.8
yanma,"bug, flying","speed-boost, compound-eyes, frisk",65,65,45,75,45,95,380,1.2
wooper,"water, ground","damp, water-absorb, unaware",55,45,45,25,25,15,85,0.4
quagsire,"water, ground","damp, water-absorb, unaware",95,85,85,65,65,35,750,1.4
espeon,psychic,"synchronize, magic-bounce",65,65,60,130,95,110,265,0.9
umbreon,dark,"synchronize, inner-focus",95,65,110,60,130,65,270,1.0
murkrow,"dark, flying","insomnia, super-luck, prankster",60,85,42,85,42,91,21,0.5
slowking,"water, psychic","oblivious, own-tempo, regenerator",95,75,80,100,110,30,795,2.0
misdreavus,ghost,levitate,60,60,60,85,85,85,10,0.7
unown,psychic,levitate,48,72,48,72,48,48,50,0.5
wobbuffet,psychic,"shadow-tag, telepathy",190,33,58,33,58,33,285,1.3
girafarig,"normal, psychic","inner-focus, early-bird, sap-sipper",70,80,65,90,65,85,415,1.5
pineco,bug,"sturdy, overcoat",50,65,90,35,35,15,72,0.6
forretress,"bug, steel","sturdy, overcoat",75,90,140,60,60,40,1258,1.2
dunsparce,normal,"serene-grace, run-away, rattled",100,70,70,65,65,45,140,1.5
gligar,"ground, flying","hyper-cutter, sand-veil, immunity",65,75,105,35,65,85,648,1.1
steelix,"steel, ground","rock-head, sturdy, sheer-force",75,85,200,55,65,30,4000,9.2
snubbull,fairy,"intimidate, run-away, rattled",60,80,50,40,40,30,78,0.6
granbull,fairy,"intimidate, quick-feet, rattled",90,120,75,60,60,45,487,1.4
qwilfish,"water, poison","poison-point, swift-swim, intimidate",65,95,85,55,55,85,39,0.5
scizor,"bug, steel","swarm, technician, light-metal",70,130,100,55,80,65,1180,1.8
shuckle,"bug, rock","sturdy, gluttony, contrary",20,10,230,10,230,5,205,0.6
heracross,"bug, fighting","swarm, guts, moxie",80,125,75,40,95,85,540,1.5
sneasel,"dark, ice","inner-focus, keen-eye, pickpocket",55,95,55,35,75,115,280,0.9
teddiursa,normal,"pickup, quick-feet, honey-gather",60,80,50,50,50,40,88,0.6
ursaring,normal,"guts, quick-feet, unnerve",90,130,75,75,75,55,1258,1.8
slugma,fire,"magma-armor, flame-body, weak-armor",40,40,40,70,40,20,350,0.7
magcargo,"fire, rock","magma-armor, flame-body, weak-armor",60,50,120,90,80,30,550,0.8
swinub,"ice, ground","oblivious, snow-cloak, thick-fat",50,50,40,30,30,50,65,0.4
piloswine,"ice, ground","oblivious, snow-cloak, thick-fat",100,100,80,60,60,50,558,1.1
corsola,"water, rock","hustle, natural-cure, regenerator",65,55,95,65,95,35,50,0.6
remoraid,water,"hustle, sniper, moody",35,65,35,65,35,65,120,0.6
octillery,water,"suction-cups, sniper, moody",75,105,75,105,75,45,285,0.9
delibird,"ice, flying","vital-spirit, hustle, insomnia",45,55,45,65,45,75,160,0.9
mantine,"water, flying","swift-swim, water-absorb, water-veil",85,40,70,80,140,70,2200,2.1
skarmory,"steel, flying","keen-eye, sturdy, weak-armor",65,80,140,40,70,70,505,1.7
houndour,"dark, fire","early-bird, flash-fire, unnerve",45,60,30,80,50,65,108,0.6
houndoom,"dark, fire","early-bird, flash-fire, unnerve",75,90,50,110,80,95,350,1.4
kingdra,"water, dragon","swift-swim, sniper, damp",75,95,95,95,95,85,1520,1.8
phanpy,ground,"pickup, sand-veil",90,60,60,40,40,40,335,0.5
donphan,ground,"sturdy, sand-veil",90,120,120,60,60,50,1200,1.1
stantler,normal,"intimidate, frisk, sap-sipper",73,95,62,85,65,85,712,1.4
smeargle,normal,"own-tempo, technician, moody",55,20,35,20,45,75,580,1.2
tyrogue,fighting,"guts, steadfast, vital-spirit",35,35,35,35,35,35,210,0.7
hitmontop,fighting,"intimidate, technician, steadfast",50,95,95,35,110,70,480,1.4
smoochum,"ice, psychic","oblivious, forewarn, hydration",45,30,15,85,65,65,60,0.4
elekid,electric,"static, vital-spirit",45,63,37,65,55,95,235,0.6
magby,fire,"flame-body, vital-spirit",45,75,37,70,55,83,214,0.7
miltank,normal,"thick-fat, scrappy, sap-sipper",95,80,105,40,70,100,755,1.2
blissey,normal,"natural-cure, serene-grace, healer",255,10,10,75,135,55,468,1.5
raikou,electric,"pressure, inner-focus",90,85,75,115,100,115,1780,1.9
entei,fire,"pressure, inner-focus",115,115,85,90,75,100,1980,2.1
suicune,water,"pressure, inner-focus",100,75,115,90,115,85,1870,2.0
larvitar,"rock, ground","guts, sand-veil",50,64,50,45,50,41,720,0.6
pupitar,"rock, ground",shed-skin,70,84,70,65,70,51,1520,1.2
tyranitar,"rock, dark","sand-stream, unnerve",100,134,110,95,100,61,2020,2.0
lugia,"psychic, flying","pressure, multiscale",106,90,130,90,154,110,2160,5.2
ho-oh,"fire, flying","pressure, regenerator",106,130,90,110,154,90,1990,3.8
celebi,"psychic, grass",natural-cure,100,100,100,100,100,100,50,0.6
treecko,grass,"overgrow, unburden",40,45,35,65,55,70,50,0.5
grovyle,grass,"overgrow, unburden",50,65,45,85,65,95,216,0.9
sceptile,grass,"overgrow, unburden",70,85,65,105,85,120,522,1.7
torchic,fire,"blaze, speed-boost",45,60,40,70,50,45,25,0.4
combusken,"fire, fighting","blaze, speed-boost",60,85,60,85,60,55,195,0.9
blaziken,"fire, fighting","blaze, speed-boost",80,120,70,110,70,80,520,1.9
mudkip,water,"torrent, damp",50,70,50,50,50,40,76,0.4
marshtomp,"water, ground","torrent, damp",70,85,70,60,70,50,280,0.7
swampert,"water, ground","torrent, damp",100,110,90,85,90,60,819,1.5
poochyena,dark,"run-away, quick-feet, rattled",35,55,35,30,30,35,136,0.5
mightyena,dark,"intimidate, quick-feet, moxie",70,90,70,60,60,70,370,1.0
zigzagoon,normal,"pickup, gluttony, quick-feet",38,30,41,30,41,60,175,0.4
linoone,normal,"pickup, gluttony, quick-feet",78,70,61,50,61,100,325,0.5
wurmple,bug,"shield-dust, run-away",45,45,35,20,30,20,36,0.3
silcoon,bug,shed-skin,50,35,55,25,25,15,100,0.6
beautifly,"bug, flying","swarm, rivalry",60,70,50,100,50,65,284,1.0
cascoon,bug,shed-skin,50,35,55,25,25,15,115,0.7
dustox,"bug, poison","shield-dust, compound-eyes",60,50,70,50,90,65,316,1.2
lotad,"water, grass","swift-swim, rain-dish, own-tempo",40,30,30,40,50,30,26,0.5
lombre,"water, grass","swift-swim, rain-dish, own-tempo",60,50,50,60,70,50,325,1.2
ludicolo,"water, grass","swift-swim, rain-dish, own-tempo",80,70,70,90,100,70,550,1.5
seedot,grass,"chlorophyll, early-bird, pickpocket",40,40,50,30,30,30,40,0.5
nuzleaf,"grass, dark","chlorophyll, early-bird, pickpocket",70,70,40,60,40,60,280,1.0
shiftry,"grass, dark","chlorophyll, wind-rider, pickpocket",90,100,60,90,60,80,596,1.3
taillow,"normal, flying","guts, scrappy",40,55,30,30,30,85,23,0.3
swellow,"normal, flying","guts, scrappy",60,85,60,75,50,125,198,0.7
wingull,"water, flying","keen-eye, hydration, rain-dish",40,30,30,55,30,85,95,0.6
pelipper,"water, flying","keen-eye, drizzle, rain-dish",60,50,100,95,70,65,280,1.2
ralts,"psychic, fairy","synchronize, trace, telepathy",28,25,25,45,35,40,66,0.4
kirlia,"psychic, fairy","synchronize, trace, telepathy",38,35,35,65,55,50,202,0.8
gardevoir,"psychic, fairy","synchronize, trace, telepathy",68,65,65,125,115,80,484,1.6
surskit,"bug, water","swift-swim, rain-dish",40,30,32,50,52,65,17,0.5
masquerain,"bug, flying","intimidate, unnerve",70,60,62,100,82,80,36,0.8
shroomish,grass,"effect-spore, poison-heal, quick-feet",60,40,60,40,60,35,45,0.4
breloom,"grass, fighting","effect-spore, poison-heal, technician",60,130,80,60,60,70,392,1.2
slakoth,normal,truant,60,60,60,35,35,30,240,0.8
vigoroth,normal,vital-spirit,80,80,80,55,55,90,465,1.4
slaking,normal,truant,150,160,100,95,65,100,1305,2.0
nincada,"bug, ground","compound-eyes, run-away",31,45,90,30,30,40,55,0.5
ninjask,"bug, flying","speed-boost, infiltrator",61,90,45,50,50,160,120,0.8
shedinja,"bug, ghost",wonder-guard,1,90,45,30,30,40,12,0.8
whismur,normal,"soundproof, rattled",64,51,23,51,23,28,163,0.6
loudred,normal,"soundproof, scrappy",84,71,43,71,43,48,405,1.0
exploud,normal,"soundproof, scrappy",104,91,63,91,73,68,840,1.5
makuhita,fighting,"thick-fat, guts, sheer-force",72,60,30,20,30,25,864,1.0
hariyama,fighting,"thick-fat, guts, sheer-force",144,120,60,40,60,50,2538,2.3
azurill,"normal, fairy","thick-fat, huge-power, sap-sipper",50,20,40,20,40,20,20,0.2
nosepass,rock,"sturdy, magnet-pull, sand-force",30,45,135,45,90,30,970,1.0
skitty,normal,"cute-charm, normalize, wonder-skin",50,45,45,35,35,50,110,0.6
delcatty,normal,"cute-charm, normalize, wonder-skin",70,65,65,55,55,90,326,1.1
sableye,"dark, ghost","keen-eye, stall, prankster",50,75,75,65,65,50,110,0.5
mawile,"steel, fairy","hyper-cutter, intimidate, sheer-force",50,85,85,55,55,50,115,0.6
aron,"steel, rock","sturdy, rock-head, heavy-metal",50,70,100,40,40,30,600,0.4
lairon,"steel, rock","sturdy, rock-head, heavy-metal",60,90,140,50,50,40,1200,0.9
aggron,"steel, rock","sturdy, rock-head, heavy-metal",70,110,180,60,60,50,3600,2.1
meditite,"fighting, psychic","pure-power, telepathy",30,40,55,40,55,60,112,0.6
medicham,"fighting, psychic","pure-power, telepathy",60,60,75,60,75,80,315,1.3
electrike,electric,"static, lightning-rod, minus",40,45,40,65,40,65,152,0.6
manectric,electric,"static, lightning-rod, minus",70,75,60,105,60,105,402,1.5
plusle,electric,"plus, lightning-rod",60,50,40,85,75,95,42,0.4
minun,electric,"minus, volt-absorb",60,40,50,75,85,95,42,0.4
volbeat,bug,"illuminate, swarm, prankster",65,73,75,47,85,85,177,0.7
illumise,bug,"oblivious, tinted-lens, prankster",65,47,75,73,85,85,177,0.6
roselia,"grass, poison","natural-cure, poison-point, leaf-guard",50,60,45,100,80,65,20,0.3
gulpin,poison,"liquid-ooze, sticky-hold, gluttony",70,43,53,43,53,40,103,0.4
swalot,poison,"liquid-ooze, sticky-hold, gluttony",100,73,83,73,83,55,800,1.7
carvanha,"water, dark","rough-skin, speed-boost",45,90,20,65,20,65,208,0.8
sharpedo,"water, dark","rough-skin, speed-boost",70,120,40,95,40,95,888,1.8
wailmer,water,"water-veil, oblivious, pressure",130,70,35,70,35,60,1300,2.0
wailord,water,"water-veil, oblivious, pressure",170,90,45,90,45,60,3980,14.5
numel,"fire, ground","oblivious, simple, own-tempo",60,60,40,65,45,35,240,0.7
camerupt,"fire, ground","magma-armor, solid-rock, anger-point",70,100,70,105,75,40,2200,1.9
torkoal,fire,"white-smoke, drought, shell-armor",70,85,140,85,70,20,804,0.5
spoink,psychic,"thick-fat, own-tempo, gluttony",60,25,35,70,80,60,306,0.7
grumpig,psychic,"thick-fat, own-tempo, gluttony",80,45,65,90,110,80,715,0.9
spinda,normal,"own-tempo, tangled-feet, contrary",60,60,60,60,60,60,50,1.1
trapinch,ground,"hyper-cutter, arena-trap, sheer-force",45,100,45,45,45,10,150,0.7
vibrava,"ground, dragon",levitate,50,70,50,50,50,70,153,1.1
flygon,"ground, dragon",levitate,80,100,80,80,80,100,820,2.0
cacnea,grass,"sand-veil, water-absorb",50,85,40,85,40,35,513,0.4
cacturne,"grass, dark","sand-veil, water-absorb",70,115,60,115,60,55,774,1.3
swablu,"normal, flying","natural-cure, cloud-nine",45,40,60,40,75,50,12,0.4
altaria,"dragon, flying","natural-cure, cloud-nine",75,70,90,70,105,80,206,1.1
